time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
0.20000000,-6.65197639,-5.16010392,1.59207652,-0.55778567,-0.54762710,-0.38617510,0.01018987,-0.00620902,0.00152095,0.14342784,-0.08694691,0.02144316,1.25306163,-0.75068325,0.18803469,0.70703464,0.00059094,0.00014339,0.70717866,0.01463939,-0.00887746,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.22000000,-6.66312987,-5.17105782,1.58435335,-0.55755149,-0.54776969,-0.38614014,0.01331386,-0.00810080,0.00198816,0.16920447,-0.10236039,0.02531344,1.32316286,-0.78973486,0.19878354,0.70703455,0.00077165,0.00018776,0.70717856,0.01726122,-0.01044578,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.24000000,-6.67427800,-5.18201498,1.57663098,-0.55724959,-0.54795324,-0.38609505,0.01696683,-0.01030828,0.00253484,0.19629806,-0.11849999,0.02938625,1.38481908,-0.82333803,0.20829546,0.70703441,0.00098277,0.00023981,0.70717843,0.02001648,-0.01208769,-0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.26000000,-6.68541933,-5.19297627,1.56890962,-0.55686913,-0.54818421,-0.38603819,0.02117345,-0.01284493,0.00316480,0.22454338,-0.13525927,0.03363737,1.43839644,-0.85174473,0.21662285,0.70703421,0.00122566,0.00029994,0.70717822,0.02288816,-0.01379221,-0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.28000000,-6.69655217,-5.20394271,1.56118954,-0.55639881,-0.54846931,-0.38596788,0.02595518,-0.01572210,0.00388137,0.25378244,-0.15253677,0.03804361,1.48425170,-0.87520016,0.22381680,0.70703392,0.00150149,0.00036850,0.70717794,0.02585993,-0.01554888,-0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.30000000,-6.70767460,-5.21491545,1.55347101,-0.55582696,-0.54881543,-0.38588234,0.03133037,-0.01894921,0.00468743,0.28386429,-0.17023586,0.04258281,1.52273240,-0.89394288,0.22992708,0.70703354,0.00181125,0.00044582,0.70717756,0.02891619,-0.01734771,-0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.32000000,-6.71878449,-5.22589578,1.54575436,-0.55514154,-0.54922966,-0.38577977,0.03731441,-0.02253373,0.00558543,0.31464483,-0.18826461,0.04723379,1.55417698,-0.90820491,0.23500221,0.70703303,0.00215574,0.00053217,0.70717704,0.03204200,-0.01917919,-0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.34000000,-6.72987943,-5.23688514,1.53803995,-0.55433024,-0.54971920,-0.38565830,0.04391990,-0.02648140,0.00657739,0.34598666,-0.20653569,0.05197632,1.57891495,-0.91821184,0.23908944,0.70703236,0.00253561,0.00062780,0.70717637,0.03522314,-0.02103428,-0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.36000000,-6.74095678,-5.24788510,1.53032817,-0.55338053,-0.55029136,-0.38551604,0.05115675,-0.03079622,0.00766496,0.37775886,-0.22496618,0.05679109,1.59726703,-0.92418294,0.24223477,0.70703150,0.00295132,0.00073291,0.70717552,0.03844602,-0.02290439,-0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.38000000,-6.75201364,-5.25889739,1.52261946,-0.55227971,-0.55095351,-0.38535105,0.05903229,-0.03548059,0.00884939,0.40983685,-0.24347752,0.06165973,1.60954531,-0.92633126,0.24448301,0.70703042,0.00340321,0.00084768,0.70717444,0.04169768,-0.02478137,-0.00000003,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.40000000,-6.76304687,-5.26992389,1.51491429,-0.55101495,-0.55171306,-0.38516141,0.06755147,-0.04053537,0.01013159,0.44210220,-0.26199533,0.06656472,1.61605336,-0.92486378,0.24587776,0.70702908,0.00389145,0.00097224,0.70717310,0.04496582,-0.02665749,-0.00000003,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.42000000,-6.77405306,-5.28096661,1.50721318,-0.54957335,-0.55257739,-0.38494513,0.07671688,-0.04595998,0.01151211,0.47444248,-0.28044931,0.07148943,1.61708642,-0.91998144,0.24646145,0.70702744,0.00441608,0.00110670,0.70717146,0.04823873,-0.02852546,-0.00000004,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.44000000,-6.78502854,-5.29202773,1.49951667,-0.54794196,-0.55355391,-0.38470027,0.08652895,-0.05175247,0.01299119,0.50675108,-0.29877312,0.07641805,1.61293149,-0.91187933,0.24627533,0.70702546,0.00497702,0.00125113,0.70716947,0.05150531,-0.03037838,-0.00000004,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.46000000,-6.79596939,-5.30310957,1.49182537,-0.54610789,-0.55464993,-0.38442483,0.09698604,-0.05790962,0.01456876,0.53892702,-0.31690428,0.08133558,1.60386753,-0.90074674,0.24535954,0.70702309,0.00557404,0.00140559,0.70716710,0.05475503,-0.03220976,-0.00000005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.48000000,-6.80687142,-5.31421457,1.48413990,-0.54405825,-0.55587269,-0.38411686,0.10808451,-0.06442697,0.01624445,0.57087486,-0.33478402,0.08622783,1.59016552,-0.88676727,0.24375309,0.70702028,0.00620683,0.00157009,0.70716429,0.05797796,-0.03401348,-0.00000005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.50000000,-6.81773019,-5.32534537,1.47646093,-0.54178027,-0.55722937,-0.38377440,0.11981891,-0.07129893,0.01801762,0.60250448,-0.35235718,0.09108135,1.57208869,-0.87011895,0.24149389,0.70701698,0.00687494,0.00174463,0.70716100,0.06116470,-0.03578383,-0.00000006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.52000000,-6.82854102,-5.33650469,1.46878916,-0.53926130,-0.55872697,-0.38339551,0.13218200,-0.07851886,0.01988736,0.63373095,-0.36957213,0.09588348,1.54989257,-0.85097433,0.23861877,0.70701315,0.00757782,0.00192916,0.70715717,0.06430639,-0.03751543,-0.00000007,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.54000000,-6.83929896,-5.34769543,1.46112536,-0.53648885,-0.56037239,-0.38297827,0.14516493,-0.08607911,0.02185253,0.66447437,-0.38638063,0.10062224,1.52382520,-0.82950059,0.23516350,0.70700873,0.00831483,0.00212364,0.70715275,0.06739473,-0.03920328,-0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.56000000,-6.84999880,-5.35892061,1.45347030,-0.53345064,-0.56217235,-0.38252078,0.15875726,-0.09397108,0.02391175,0.69465975,-0.40273771,0.10528638,1.49412718,-0.80585961,0.23116282,0.70700367,0.00908525,0.00232799,0.70714768,0.07042189,-0.04084272,-0.00000009,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.58000000,-6.86063513,-5.37018340,1.44582481,-0.53013458,-0.56413338,-0.38202119,0.17294713,-0.10218533,0.02606342,0.72421681,-0.41860161,0.10986534,1.46103190,-0.78020811,0.22665041,0.70699792,0.00988824,0.00254210,0.70714193,0.07338060,-0.04242945,-0.00000010,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.60000000,-6.87120226,-5.38148707,1.43818975,-0.52652886,-0.56626184,-0.38147764,0.18772130,-0.11071160,0.02830573,0.75307989,-0.43393364,0.11434920,1.42476557,-0.75269771,0.22165897,0.70699141,0.01072292,0.00276585,0.70713542,0.07626402,-0.04395945,-0.00000011,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.62000000,-6.88169428,-5.39283503,1.43056601,-0.52262193,-0.56856385,-0.38088837,0.20306529,-0.11953889,0.03063669,0.78118776,-0.44869810,0.11872871,1.38554744,-0.72347507,0.21622021,0.70698411,0.01158830,0.00299910,0.70712812,0.07906584,-0.04542908,-0.00000012,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.64000000,-6.89210505,-5.40423082,1.42295453,-0.51840255,-0.57104533,-0.38025160,0.21896340,-0.12865552,0.03305413,0.80848352,-0.46286218,0.12299523,1.34358985,-0.69268191,0.21036487,0.70697596,0.01248336,0.00324169,0.70711997,0.08178018,-0.04683495,-0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.66000000,-6.90242822,-5.41567808,1.41535627,-0.51385981,-0.57371192,-0.37956564,0.23539886,-0.13804917,0.03555569,0.83491446,-0.47639582,0.12714073,1.29909842,-0.66045521,0.20412271,0.70696691,0.01340699,0.00349345,0.70711091,0.08440163,-0.04817402,-0.00000014,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
